folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_viv
0100008302,1,8,10,3,39, ,1,2,2,6,1,1,1,2,1,2,2,0,0,1,1,0,13,3, ,3,4, ,4000, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,010010000,000-0,1,4,005,00670,694
0100008303,1,8,10,3,25, ,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,3,0,3, ,3,2, ,2000, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,0,1,010010000,000-0,1,4,005,00670,694
0100008304,1,8,10,3,45, ,1,2,2,5,1,2,1,2,1,2,2,0,0,1,1,0,7,3, ,3,4, ,4500, , ,1,2,1,02,1,01,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,010010000,000-0,1,4,005,00670,694
0100008305,1,8,10,3,40, ,1,2,2,7,1,1,1,2,1,2,2,0,0,1,1,0,9,3, ,3,5, ,4000, , , , , , , , , , ,1,1,1,1,1,2,1,1,1,1,1,2,2,3,3,0,1,010010000,000-0,1,4,005,00670,694
0100010401,1,8,10,3,40, ,1,2,2,8,1,1,1,2,1,2,1,1,0,1,1,0,10,4, ,3,4, ,3000, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,2,1,1,010010000,000-0,1,4,005,00600,660
0100010402,1,8,10,3,40, ,1,2,4,9,1,1,1,2,1,2,3,0,0,1,1,0,40,4, ,3,4, ,8000, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,1,1,1,1,2,2,2,4,1,3,1,010010000,000-0,1,4,005,00600,660
0100010403,1,8,10,3,20, ,1,2,2,6,1,1,1,2,1,2,2,0,0,1,1,0,12,3, ,3,4, ,4000, , ,1,2,2,01,1, , ,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,1,1,010010000,000-0,1,4,005,00600,660
0100010404,1,8,10,3,30, ,1,2,2,5,1,1,1,2,1,2,2,0,0,1,1,0,9,3, ,3,4, ,4000, , ,4, , ,02,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,4,3,1,1,010010000,000-0,1,4,005,00600,660
0100010405,1,8,10,3,30, ,1,2,3,6,1,1,1,2,1,2,2,0,0,1,1,0,10,3, ,3,1,4500, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,4,1,3,1,010010000,000-0,1,4,005,00600,660
0100018702,1,8,10,3,33, ,1,2,3,5,1,1,1,2,1,2,1,0,0,1,1,7,0,3, ,3,4, ,3500, , ,3, ,5,02,1,01,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,7,4,3,1,010010000,000-0,1,3,004,00570,583
